Position,Artist,Genre,Lead Streams,Featured streams,Tracks,1b,100m,10m,1m,Update,% Songs Streamed 1Million Times,% Songs Streamed 10Million Times,% Songs Streamed 100Million Times,% Songs Streamed 1Billion Times
190,Daft Punk,,"5,100,369,423","3,097,016,524",190,0,9,74,139,22.03.22,73%,39%,5%,0%
191,Radiohead,,"5,093,670,775","1,893,476",234,0,8,91,199,26.02.22,85%,39%,3%,0%
192,John Legend,,"5,051,571,136","2,282,127,719",246,1,6,63,187,17.02.22,76%,26%,2%,0%
193,Manuel Turizo,,"5,049,889,244","2,072,308,763",62,0,15,45,61,15.03.22,98%,73%,24%,0%
194,Roddy Ricch,,"4,992,040,536","3,006,056,874",57,1,14,35,56,16.03.22,98%,61%,25%,2%
195,Rae Sremmurd,,"4,974,455,451","526,902,012",60,0,12,42,59,30.03.22,98%,70%,20%,0%
196,Rita Ora,,"4,947,510,462","693,329,484",128,0,13,39,85,02.04.22,66%,30%,10%,0%
197,System Of A Down,,"4,914,276,934",417,84,0,9,68,78,10.04.22,93%,81%,11%,0%
198,Playboi Carti,,"4,894,535,530","1,561,821,806",82,0,11,64,72,10.04.22,88%,78%,13%,0%
199,Joji,,"4,891,769,766","653,941,398",50,0,14,41,50,10.04.22,100%,82%,28%,0%
200,The 1975,,"4,886,818,913","145,762,020",132,0,13,75,129,29.03.22,98%,57%,10%,0%
201,Jorge & Mateus,,"4,873,823,162","1,027,297,711",257,0,9,95,244,07.04.22,95%,37%,4%,0%
202,Mumford & Sons,,"4,853,570,014","16,462,023",121,0,10,66,111,28.03.22,92%,55%,8%,0%
203,Troye Sivan,,"4,824,626,257","824,568,480",102,0,12,54,84,26.01.22,82%,53%,12%,0%
204,Jack Johnson,,"4,823,640,035","29,651,509",178,0,7,80,164,03.04.22,92%,45%,4%,0%
205,Muse,,"4,822,015,557",0,245,0,11,86,179,10.04.22,73%,35%,4%,0%
206,Elvis Presley,,"4,802,861,729","5,000,211",1.944,0,8,73,360,27.02.22,18519%,3755%,412%,0%
207,Snoop Dogg,,"4,802,642,451","5,654,075,604",732,0,10,56,269,09.03.22,37%,8%,1%,0%
208,6ix9ine,,"4,802,033,247","1,073,147,696",57,0,16,35,52,11.04.22,91%,61%,28%,0%
209,Gucci Mane,,"4,798,788,897","4,481,259,838",2.168,0,5,76,301,06.02.22,13884%,3506%,231%,0%
210,The Notorious B.I.G.,,"4,743,892,517","636,871,632",178,0,10,53,121,09.03.22,68%,30%,6%,0%
211,Bazzi,,"4,734,399,866","60,889,785",37,0,12,32,37,03.04.22,100%,86%,32%,0%
212,Don Omar,,"4,717,673,391","1,777,908,052",234,0,12,53,121,24.03.22,52%,23%,5%,0%
213,Paramore,,"4,662,552,028",538,113,0,10,67,100,09.04.22,88%,59%,9%,0%
214,Swae Lee,,"4,650,122,350","5,421,397,904",57,1,10,31,54,01.04.22,95%,54%,18%,2%
215,Paulo Londra,,"4,648,248,854","109,824,555",30,0,13,29,30,11.04.22,100%,97%,43%,0%
216,Felix Jaehn,,"4,628,771,785","188,370,625",166,1,11,35,95,15.03.22,57%,21%,7%,1%
217,Christian Nodal,,"4,622,776,903","340,332,467",62,0,13,50,62,30.03.22,100%,81%,21%,0%
218,Bon Jovi,,"4,600,378,208","1,275,883",325,0,9,42,185,09.04.22,57%,13%,3%,0%
219,Hailee Steinfeld,,"4,589,558,265","614,118,425",29,1,10,18,27,24.03.22,93%,62%,34%,3%
220,Melanie Martinez,,"4,586,574,236","3,859,344",56,0,16,42,55,10.04.22,98%,75%,29%,0%
